Date : 2023-01-09 22:09:54
Directory : d:\会议室预约系统\mini
Total : 171 files,  11610 codes, 2701 comments, 1238 blanks, all 15549 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| pages\tourists                                                 |          4 |        340 |         59 |         41 |        440 |
| pages\user                                                     |          4 |        260 |         49 |         36 |        345 |
| static                                                         |          1 |         40 |          1 |         10 |         51 |
| static\iconfont                                                |          1 |         40 |          1 |         10 |         51 |
| utils                                                          |          1 |         16 |          0 |          4 |         20 |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\会议室预约系统\mini\.idea\modules.xml                              | XML        |          8 |          0 |          0 |          8 |
| d:\会议室预约系统\mini\.idea\roomAppointment.iml                      | XML        |         12 |          0 |          0 |         12 |
| d:\会议室预约系统\mini\.idea\vcs.xml                                  | XML        |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\app.js                                         | JavaScript |         14 |         29 |          1 |         44 |
| d:\会议室预约系统\mini\app.json                                       | JSON       |         35 |          0 |          0 |         35 |
| d:\会议室预约系统\mini\app.wxss                                       | CSS        |         13 |         15 |          3 |         31 |
| d:\会议室预约系统\mini\cloud\addEmployee\config.json                  | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\addEmployee\index.js                     | JavaScript |         17 |          2 |          3 |         22 |
| d:\会议室预约系统\mini\cloud\addEmployee\package.json                 | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\addRoomAppointInfo\config.json           | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\addRoomAppointInfo\index.js              | JavaScript |         11 |          2 |          3 |         16 |
| d:\会议室预约系统\mini\cloud\addRoomAppointInfo\package.json          | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\addRoomInfo\config.json                  | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\addRoomInfo\index.js                     | JavaScript |         18 |          2 |          2 |         22 |
| d:\会议室预约系统\mini\cloud\addRoomInfo\package.json                 | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\addStudent\config.json                   | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\addStudent\index.js                      | JavaScript |         19 |          2 |          2 |         23 |
| d:\会议室预约系统\mini\cloud\addStudent\package.json                  | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\addTeacher\config.json                   | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\addTeacher\index.js                      | JavaScript |         17 |          2 |          2 |         21 |
| d:\会议室预约系统\mini\cloud\addTeacher\package.json                  | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\addUserAppoint\config.json               | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\addUserAppoint\index.js                  | JavaScript |         11 |          2 |          2 |         15 |
| d:\会议室预约系统\mini\cloud\addUserAppoint\package.json              | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\delEmployeeInfo\config.json              | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\delEmployeeInfo\index.js                 | JavaScript |          9 |          2 |          2 |         13 |
| d:\会议室预约系统\mini\cloud\delEmployeeInfo\package.json             | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\delRoomInfoItem\config.json              | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\delRoomInfoItem\index.js                 | JavaScript |          9 |          2 |          2 |         13 |
| d:\会议室预约系统\mini\cloud\delRoomInfoItem\package.json             | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\delStudentInfo\config.json               | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\delStudentInfo\index.js                  | JavaScript |          9 |          2 |          2 |         13 |
| d:\会议室预约系统\mini\cloud\delStudentInfo\package.json              | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\delTeacherInfo\config.json               | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\delTeacherInfo\index.js                  | JavaScript |          9 |          2 |          2 |         13 |
| d:\会议室预约系统\mini\cloud\delTeacherInfo\package.json              | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\generateQr\config.json                   | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\generateQr\index.js                      | JavaScript |         18 |          4 |          2 |         24 |
| d:\会议室预约系统\mini\cloud\generateQr\package.json                  | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\getDateAppointList\config.json           | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\getDateAppointList\index.js              | JavaScript |          9 |          7 |          3 |         19 |
| d:\会议室预约系统\mini\cloud\getDateAppointList\package.json          | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\getOpenId\config.json                    | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\getOpenId\index.js                       | JavaScript |         11 |          2 |          3 |         16 |
| d:\会议室预约系统\mini\cloud\getOpenId\package.json                   | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\getRoomInfo\config.json                  | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\getRoomInfo\index.js                     | JavaScript |          6 |          2 |          2 |         10 |
| d:\会议室预约系统\mini\cloud\getRoomInfo\package.json                 | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\updateEmployeeInfo\config.json           | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\updateEmployeeInfo\index.js              | JavaScript |         19 |          2 |          2 |         23 |
| d:\会议室预约系统\mini\cloud\updateEmployeeInfo\package.json          | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\updateRoomAppointInfo\config.json        | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\updateRoomAppointInfo\index.js           | JavaScript |         13 |          7 |          2 |         22 |
| d:\会议室预约系统\mini\cloud\updateRoomAppointInfo\package.json       | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\updateRoomInfo\config.json               | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\updateRoomInfo\index.js                  | JavaScript |         27 |          2 |          2 |         31 |
| d:\会议室预约系统\mini\cloud\updateRoomInfo\package.json              | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\updateSTInfo\config.json                 | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\updateSTInfo\index.js                    | JavaScript |         13 |          2 |          2 |         17 |
| d:\会议室预约系统\mini\cloud\updateSTInfo\package.json                | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\updateStudentInfo\config.json            | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\updateStudentInfo\index.js               | JavaScript |         20 |          2 |          2 |         24 |
| d:\会议室预约系统\mini\cloud\updateStudentInfo\package.json           | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\updateTeacherInfo\config.json            | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\updateTeacherInfo\index.js               | JavaScript |         18 |          2 |          2 |         22 |
| d:\会议室预约系统\mini\cloud\updateTeacherInfo\package.json           | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\cloud\updateUserAppointInfo\config.json        | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\cloud\updateUserAppointInfo\index.js           | JavaScript |         13 |          2 |          2 |         17 |
| d:\会议室预约系统\mini\cloud\updateUserAppointInfo\package.json       | JSON       |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\data\database_export-7HAwf_mruPjd.json         | JSON       |         12 |          0 |          1 |         13 |
| d:\会议室预约系统\mini\data\database_export-FCV1Dkr1H5NW.json         | JSON       |         87 |          0 |          0 |         87 |
| d:\会议室预约系统\mini\data\database_export-ikOxH1JeBDPt.csv          | CSV        |          3 |          0 |          1 |          4 |
| d:\会议室预约系统\mini\data\database_export-jCSnnFqZD4QN.json         | JSON       |          2 |          0 |          1 |          3 |
| d:\会议室预约系统\mini\data\database_export-xOrd9Kwrd7yQ.json         | JSON       |         29 |          0 |          1 |         30 |
| d:\会议室预约系统\mini\data\roomInfo.csv                              | CSV        |         14 |          0 |          0 |         14 |
| d:\会议室预约系统\mini\data\企业员工数据1.json                              | JSON       |        109 |          0 |          0 |        109 |
| d:\会议室预约系统\mini\data\导入数据库的操作.md                               | Markdown   |          7 |          0 |          1 |          8 |
| d:\会议室预约系统\mini\data\数据2.csv                                   | CSV        |          3 |          0 |          1 |          4 |
| d:\会议室预约系统\mini\data\数据2.json                                  | JSON       |          2 |          0 |          1 |          3 |
| d:\会议室预约系统\mini\package-lock.json                              | JSON       |         13 |          0 |          1 |         14 |
| d:\会议室预约系统\mini\pages\addRoom\addRoom.js                       | JavaScript |        501 |        105 |         46 |        652 |
| d:\会议室预约系统\mini\pages\addRoom\addRoom.json                     | JSON       |          6 |          0 |          0 |          6 |
| d:\会议室预约系统\mini\pages\addRoom\addRoom.wxml                     | wxml       |         67 |         13 |          0 |         80 |
| d:\会议室预约系统\mini\pages\addRoom\addRoom.wxss                     | CSS        |        225 |         32 |         30 |        287 |
| d:\会议室预约系统\mini\pages\admin\admin.js                           | JavaScript |         43 |         32 |         18 |         93 |
| d:\会议室预约系统\mini\pages\admin\admin.json                         | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\admin\admin.wxml                         | wxml       |         32 |          8 |          0 |         40 |
| d:\会议室预约系统\mini\pages\admin\admin.wxss                         | CSS        |        145 |          6 |         17 |        168 |
| d:\会议室预约系统\mini\pages\appointedEdit\appointedEdit.js           | JavaScript |        337 |         69 |         35 |        441 |
| d:\会议室预约系统\mini\pages\appointedEdit\appointedEdit.json         | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\appointedEdit\appointedEdit.wxml         | wxml       |         68 |         21 |          0 |         89 |
| d:\会议室预约系统\mini\pages\appointedEdit\appointedEdit.wxss         | CSS        |        172 |         17 |         27 |        216 |
| d:\会议室预约系统\mini\pages\conditionSearch\conditionSearch.js       | JavaScript |        303 |        139 |         38 |        480 |
| d:\会议室预约系统\mini\pages\conditionSearch\conditionSearch.json     | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\conditionSearch\conditionSearch.wxml     | wxml       |         55 |         20 |          0 |         75 |
| d:\会议室预约系统\mini\pages\conditionSearch\conditionSearch.wxss     | CSS        |        223 |          6 |         30 |        259 |
| d:\会议室预约系统\mini\pages\handleAppointItem\handleAppointItem.js   | JavaScript |        301 |         81 |         26 |        408 |
| d:\会议室预约系统\mini\pages\handleAppointItem\handleAppointItem.json | JSON       |          9 |          0 |          0 |          9 |
| d:\会议室预约系统\mini\pages\handleAppointItem\handleAppointItem.wxml | wxml       |         33 |          9 |          0 |         42 |
| d:\会议室预约系统\mini\pages\handleAppointItem\handleAppointItem.wxss | CSS        |        160 |         14 |         25 |        199 |
| d:\会议室预约系统\mini\pages\handleEmployee\handleEmployee.js         | JavaScript |        207 |         84 |         36 |        327 |
| d:\会议室预约系统\mini\pages\handleEmployee\handleEmployee.json       | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\handleEmployee\handleEmployee.wxml       | wxml       |         95 |         30 |          0 |        125 |
| d:\会议室预约系统\mini\pages\handleEmployee\handleEmployee.wxss       | CSS        |        141 |         14 |         20 |        175 |
| d:\会议室预约系统\mini\pages\index\index.js                           | JavaScript |        227 |        212 |         36 |        475 |
| d:\会议室预约系统\mini\pages\index\index.json                         | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\index\index.wxml                         | wxml       |         14 |          4 |          0 |         18 |
| d:\会议室预约系统\mini\pages\index\index.wxss                         | CSS        |         67 |          5 |          7 |         79 |
| d:\会议室预约系统\mini\pages\jobFair\jobFair.js                       | JavaScript |         20 |         28 |         18 |         66 |
| d:\会议室预约系统\mini\pages\jobFair\jobFair.wxml                     | wxml       |          1 |          1 |          1 |          3 |
| d:\会议室预约系统\mini\pages\newAppointment\newAppointment.js         | JavaScript |        503 |        280 |         45 |        828 |
| d:\会议室预约系统\mini\pages\newAppointment\newAppointment.json       | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\newAppointment\newAppointment.wxml       | wxml       |         52 |         11 |          1 |         64 |
| d:\会议室预约系统\mini\pages\newAppointment\newAppointment.wxss       | CSS        |        159 |         15 |         25 |        199 |
| d:\会议室预约系统\mini\pages\registered\registered.js                 | JavaScript |        249 |         60 |         26 |        335 |
| d:\会议室预约系统\mini\pages\registered\registered.json               | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\registered\registered.wxml               | wxml       |         40 |          9 |          0 |         49 |
| d:\会议室预约系统\mini\pages\registered\registered.wxss               | CSS        |         62 |          4 |          8 |         74 |
| d:\会议室预约系统\mini\pages\roleChoose\roleChoose.js                 | JavaScript |        148 |         40 |         22 |        210 |
| d:\会议室预约系统\mini\pages\roleChoose\roleChoose.json               | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\roleChoose\roleChoose.wxml               | wxml       |         13 |          1 |          1 |         15 |
| d:\会议室预约系统\mini\pages\roleChoose\roleChoose.wxss               | CSS        |         33 |          1 |          5 |         39 |
| d:\会议室预约系统\mini\pages\roomDetail2\roomDetail2.js               | JavaScript |        549 |        211 |         42 |        802 |
| d:\会议室预约系统\mini\pages\roomDetail2\roomDetail2.json             | JSON       |          5 |          0 |          0 |          5 |
| d:\会议室预约系统\mini\pages\roomDetail2\roomDetail2.wxml             | wxml       |        100 |         19 |          0 |        119 |
| d:\会议室预约系统\mini\pages\roomDetail2\roomDetail2.wxss             | CSS        |        460 |         77 |         82 |        619 |
| d:\会议室预约系统\mini\pages\roomDetail\roomDetail.js                 | JavaScript |      1,086 |        229 |         82 |      1,397 |
| d:\会议室预约系统\mini\pages\roomDetail\roomDetail.json               | JSON       |          5 |          0 |          0 |          5 |
| d:\会议室预约系统\mini\pages\roomDetail\roomDetail.wxml               | wxml       |        170 |         29 |          1 |        200 |
| d:\会议室预约系统\mini\pages\roomDetail\roomDetail.wxss               | CSS        |        420 |         88 |         74 |        582 |
| d:\会议室预约系统\mini\pages\roomsEdit\roomsEdit.js                   | JavaScript |        436 |        102 |         38 |        576 |
| d:\会议室预约系统\mini\pages\roomsEdit\roomsEdit.json                 | JSON       |          5 |          0 |          0 |          5 |
| d:\会议室预约系统\mini\pages\roomsEdit\roomsEdit.wxml                 | wxml       |         53 |         13 |          0 |         66 |
| d:\会议室预约系统\mini\pages\roomsEdit\roomsEdit.wxss                 | CSS        |        352 |         30 |         46 |        428 |
| d:\会议室预约系统\mini\pages\showRoomInfo\showRoomInfo.js             | JavaScript |         76 |         33 |         18 |        127 |
| d:\会议室预约系统\mini\pages\showRoomInfo\showRoomInfo.json           | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\showRoomInfo\showRoomInfo.wxml           | wxml       |         34 |          1 |          0 |         35 |
| d:\会议室预约系统\mini\pages\showRoomInfo\showRoomInfo.wxss           | CSS        |         80 |          5 |         10 |         95 |
| d:\会议室预约系统\mini\pages\showRoomQrimg\showRoomQrimg.js           | JavaScript |         36 |         28 |         16 |         80 |
| d:\会议室预约系统\mini\pages\showRoomQrimg\showRoomQrimg.json         | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\showRoomQrimg\showRoomQrimg.wxml         | wxml       |         11 |          2 |          0 |         13 |
| d:\会议室预约系统\mini\pages\showRoomQrimg\showRoomQrimg.wxss         | CSS        |         30 |          5 |          4 |         39 |
| d:\会议室预约系统\mini\pages\showUserAppoint\showUserAppoint.js       | JavaScript |        146 |         45 |         24 |        215 |
| d:\会议室预约系统\mini\pages\showUserAppoint\showUserAppoint.json     | JSON       |          9 |          0 |          0 |          9 |
| d:\会议室预约系统\mini\pages\showUserAppoint\showUserAppoint.wxml     | wxml       |         84 |         34 |          0 |        118 |
| d:\会议室预约系统\mini\pages\showUserAppoint\showUserAppoint.wxss     | CSS        |        173 |         16 |         25 |        214 |
| d:\会议室预约系统\mini\pages\studentRegistered\studentRegistered.js   | JavaScript |        170 |         58 |         25 |        253 |
| d:\会议室预约系统\mini\pages\studentRegistered\studentRegistered.json | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\studentRegistered\studentRegistered.wxml | wxml       |         45 |         10 |          1 |         56 |
| d:\会议室预约系统\mini\pages\studentRegistered\studentRegistered.wxss | CSS        |         63 |          4 |          8 |         75 |
| d:\会议室预约系统\mini\pages\teacherRegistered\teacherRegistered.js   | JavaScript |        151 |         41 |         21 |        213 |
| d:\会议室预约系统\mini\pages\teacherRegistered\teacherRegistered.json | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\teacherRegistered\teacherRegistered.wxml | wxml       |         34 |          8 |          2 |         44 |
| d:\会议室预约系统\mini\pages\teacherRegistered\teacherRegistered.wxss | CSS        |         62 |          4 |          8 |         74 |
| d:\会议室预约系统\mini\pages\test\test.js                             | JavaScript |         51 |         29 |         19 |         99 |
| d:\会议室预约系统\mini\pages\test\test.json                           | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\test\test.wxml                           | wxml       |          4 |          1 |          0 |          5 |
| d:\会议室预约系统\mini\pages\test\test.wxss                           | CSS        |          8 |          1 |          0 |          9 |
| d:\会议室预约系统\mini\pages\tourists\tourists.js                     | JavaScript |        158 |         46 |         23 |        227 |
| d:\会议室预约系统\mini\pages\tourists\tourists.json                   | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\tourists\tourists.wxml                   | wxml       |         28 |          7 |          0 |         35 |
| d:\会议室预约系统\mini\pages\tourists\tourists.wxss                   | CSS        |        151 |          6 |         18 |        175 |
| d:\会议室预约系统\mini\pages\user\user.js                             | JavaScript |         85 |         35 |         19 |        139 |
| d:\会议室预约系统\mini\pages\user\user.json                           | JSON       |          3 |          0 |          0 |          3 |
| d:\会议室预约系统\mini\pages\user\user.wxml                           | wxml       |         27 |          7 |          0 |         34 |
| d:\会议室预约系统\mini\pages\user\user.wxss                           | CSS        |        145 |          7 |         17 |        169 |
| d:\会议室预约系统\mini\project.config.json                            | JSON       |         75 |          0 |          0 |         75 |
| d:\会议室预约系统\mini\project.private.config.json                    | JSON       |        129 |          0 |          0 |        129 |
| d:\会议室预约系统\mini\sitemap.json                                   | JSON       |          7 |          0 |          0 |          7 |
| d:\会议室预约系统\mini\static\iconfont\iconfont.wxss                  | CSS        |         40 |          1 |         10 |         51 |
| d:\会议室预约系统\mini\utils\util.js                                  | JavaScript |         16 |          0 |          4 |         20 |
| Total                                                          |            |     11,610 |      2,701 |      1,238 |     15,549 |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
